"Model","Fixed_Effect","Random_Effects","Model_Fit_Rank","Model_Likelihood_Rank","Significance_of_Fixed_Effect"
"Tissue.Region","Disease.Status","Tissue.Region",18,19,0
"Tissue.Region_Donor.Age","Disease.Status","Tissue.Region, Donor.Age",6,4,0.0886
"Tissue.Region_T1D_Duration_Binned","Disease.Status","Tissue.Region, T1D, Duration, Binned",15,14,0.1079
"Tissue.Region_Slide.Age","Disease.Status","Tissue.Region, Slide.Age",19,18,0.0415
"Tissue.Region_Ganglia.Type","Disease.Status","Tissue.Region, Ganglia.Type",20,19,0
"Tissue.Region_CaseID","Disease.Status","Tissue.Region, CaseID",10,9,0.0651
"Donor.Age","Disease.Status","Donor.Age",3,6,0.0959
"Donor.Age_T1D_Duration_Binned","Disease.Status","Donor.Age, T1D, Duration, Binned",1,1,0.3934
"Donor.Age_Slide.Age","Disease.Status","Donor.Age, Slide.Age",8,7,0.0959
"Donor.Age_Ganglia.Type","Disease.Status","Donor.Age, Ganglia.Type",4,3,0.0891
"Donor.Age_CaseID","Disease.Status","Donor.Age, CaseID",7,5,0.0959
"T1D_Duration_Binned","Disease.Status","T1D, Duration, Binned",13,16,0.1091
"T1D_Duration_Binned_Slide.Age","Disease.Status","T1D, Duration, Binned, Slide.Age",14,13,0.4309
"T1D_Duration_Binned_Ganglia.Type","Disease.Status","T1D, Duration, Binned, Ganglia.Type",16,15,0.1084
"T1D_Duration_Binned_CaseID","Disease.Status","T1D, Duration, Binned, CaseID",2,2,0.3618
"Slide.Age","Disease.Status","Slide.Age",21,21,0.2017
"Slide.Age_Ganglia.Type","Disease.Status","Slide.Age, Ganglia.Type",23,22,0.2017
"Slide.Age_CaseID","Disease.Status","Slide.Age, CaseID",11,11,0.0694
"Ganglia.Type","Disease.Status","Ganglia.Type",22,23,1e-04
"Ganglia.Type_CaseID","Disease.Status","Ganglia.Type, CaseID",9,8,0.0643
"CaseID","Disease.Status","CaseID",5,10,0.0694
"NoRandom","Disease.Status","None",17,17,1e-04
"CaseID_SlideAge","Disease.Status","CaseID, SlideAge",11,11,0.0694
"Tissue.Region","Tissue.Region","None",NA,NA,0.162
"Donor.Age","Donor.Age","None",NA,NA,0.392
"T1D_Duration_Binned","T1D_Duration_Binned","None",NA,NA,0
"Slide.Age","Slide.Age","None",NA,NA,0
"Ganglia.Type","Ganglia.Type","None",NA,NA,0.3704
"CaseID","CaseID","None",NA,NA,0
