"Dependent.Variable","Model","Fixed_Effect","Random_Effects","Model_Fit_Rank","Model_Likelihood_Rank","Significance_of_Fixed_Effect"
"CGRP.Coverage","log_CGRP.Coverage ~ Disease.Status + (1 | Ganglia.Type) + (1 |      CaseID)","Disease.Status","Ganglia.Type, CaseID",1,1,0.6807
"CGRP.Coverage","log_CGRP.Coverage ~ Disease.Status + (1 | CaseID)","Disease.Status","CaseID",2,7,0.6629
"CGRP.Coverage","log_CGRP.Coverage ~ Disease.Status + (1 | Slide.Age) + (1 | CaseID)","Disease.Status","Slide.Age, CaseID",3.5,2.5,0.674
"CGRP.Coverage","log_CGRP.Coverage ~ Disease.Status + (1 | CaseID) + (1 | Slide.Age)","Disease.Status","CaseID, SlideAge",3.5,2.5,0.674
"CGRP.Coverage","log_CGRP.Coverage ~ Disease.Status + (1 | T1D_Duration_Binned) +      (1 | CaseID)","Disease.Status","T1D, Duration, Binned, CaseID",5,4,0.9257
"CGRP.Coverage","log_CGRP.Coverage ~ Disease.Status + (1 | Tissue.Region) + (1 |      CaseID)","Disease.Status","Tissue.Region, CaseID",6,5,0.6645
"CGRP.Coverage","log_CGRP.Coverage ~ Disease.Status + (1 | Donor.Age) + (1 | CaseID)","Disease.Status","Donor.Age, CaseID",7,6,0.6629
"CGRP.Coverage","log_CGRP.Coverage ~ Disease.Status + (1 | Donor.Age) + (1 | Ganglia.Type)","Disease.Status","Donor.Age, Ganglia.Type",8,8,0.3645
"CGRP.Coverage","log_CGRP.Coverage ~ Disease.Status + (1 | Donor.Age)","Disease.Status","Donor.Age",9,11,0.3425
"CGRP.Coverage","log_CGRP.Coverage ~ Disease.Status + (1 | Donor.Age) + (1 | Slide.Age)","Disease.Status","Donor.Age, Slide.Age",10,9,0.3092
"CGRP.Coverage","log_CGRP.Coverage ~ Disease.Status + (1 | Donor.Age) + (1 | T1D_Duration_Binned)","Disease.Status","Donor.Age, T1D, Duration, Binned",11,10,0.9593
"CGRP.Coverage","log_CGRP.Coverage ~ Disease.Status + (1 | Tissue.Region) + (1 |      Donor.Age)","Disease.Status","Tissue.Region, Donor.Age",12,12,0.3425
"CGRP.Coverage","log_CGRP.Coverage ~ Disease.Status + (1 | T1D_Duration_Binned) +      (1 | Slide.Age)","Disease.Status","T1D, Duration, Binned, Slide.Age",13,13,0.8194
"CGRP.Coverage","log_CGRP.Coverage ~ Disease.Status + (1 | Slide.Age) + (1 | Ganglia.Type)","Disease.Status","Slide.Age, Ganglia.Type",14,14,0.0845
"CGRP.Coverage","log_CGRP.Coverage ~ Disease.Status + (1 | Slide.Age)","Disease.Status","Slide.Age",15,16,0.0485
"CGRP.Coverage","log_CGRP.Coverage ~ Disease.Status + (1 | Tissue.Region) + (1 |      Slide.Age)","Disease.Status","Tissue.Region, Slide.Age",16,15,0.0485
"CGRP.Coverage","log_CGRP.Coverage ~ Disease.Status","Disease.Status","None",17,20,0.2509
"CGRP.Coverage","log_CGRP.Coverage ~ Disease.Status + (1 | T1D_Duration_Binned)","Disease.Status","T1D, Duration, Binned",18,19,0.4369
"CGRP.Coverage","log_CGRP.Coverage ~ Disease.Status + (1 | Tissue.Region) + (1 |      T1D_Duration_Binned)","Disease.Status","Tissue.Region, T1D, Duration, Binned",19,17,0.3692
"CGRP.Coverage","log_CGRP.Coverage ~ Disease.Status + (1 | T1D_Duration_Binned) +      (1 | Ganglia.Type)","Disease.Status","T1D, Duration, Binned, Ganglia.Type",20,18,0.5527
"CGRP.Coverage","log_CGRP.Coverage ~ Disease.Status + (1 | Ganglia.Type)","Disease.Status","Ganglia.Type",21,22,0.374
"CGRP.Coverage","log_CGRP.Coverage ~ Disease.Status + (1 | Tissue.Region)","Disease.Status","Tissue.Region",22,23,0.159
"CGRP.Coverage","log_CGRP.Coverage ~ Disease.Status + (1 | Tissue.Region) + (1 |      Ganglia.Type)","Disease.Status","Tissue.Region, Ganglia.Type",23,21,0.2529
"CGRP.Coverage","log_CGRP.Coverage ~ Tissue.Region","Tissue.Region","None",NA,NA,0.1427
"CGRP.Coverage","log_CGRP.Coverage ~ Donor.Age","Donor.Age","None",NA,NA,0.6426
"CGRP.Coverage","log_CGRP.Coverage ~ T1D_Duration_Binned","T1D_Duration_Binned","None",NA,NA,0.0071
"CGRP.Coverage","log_CGRP.Coverage ~ Slide.Age","Slide.Age","None",NA,NA,0
"CGRP.Coverage","log_CGRP.Coverage ~ Ganglia.Type","Ganglia.Type","None",NA,NA,0.0152
"CGRP.Coverage","log_CGRP.Coverage ~ CaseID","CaseID","None",NA,NA,0
