"Dependent.Variable","Model","Fixed_Effect","Random_Effects","Model_Fit_Rank","Model_Likelihood_Rank","Significance_of_Fixed_Effect"
"Ganglia.Area.µm.2.","log_Ganglia.Area.µm.2. ~ Disease.Status + (1 | Donor.Age) +      (1 | Ganglia.Type)","Disease.Status","Donor.Age, Ganglia.Type",1,1,0.4014
"Ganglia.Area.µm.2.","log_Ganglia.Area.µm.2. ~ Disease.Status + (1 | Ganglia.Type) +      (1 | CaseID)","Disease.Status","Ganglia.Type, CaseID",2,2,0.4245
"Ganglia.Area.µm.2.","log_Ganglia.Area.µm.2. ~ Disease.Status","Disease.Status","None",3,10,0.1818
"Ganglia.Area.µm.2.","log_Ganglia.Area.µm.2. ~ Disease.Status + (1 | Donor.Age)","Disease.Status","Donor.Age",4,5,0.5499
"Ganglia.Area.µm.2.","log_Ganglia.Area.µm.2. ~ Disease.Status + (1 | CaseID)","Disease.Status","CaseID",5,14,0.5624
"Ganglia.Area.µm.2.","log_Ganglia.Area.µm.2. ~ Disease.Status + (1 | Tissue.Region) +      (1 | Donor.Age)","Disease.Status","Tissue.Region, Donor.Age",6,3,0.5611
"Ganglia.Area.µm.2.","log_Ganglia.Area.µm.2. ~ Disease.Status + (1 | Donor.Age) +      (1 | CaseID)","Disease.Status","Donor.Age, CaseID",7,4,0.5499
"Ganglia.Area.µm.2.","log_Ganglia.Area.µm.2. ~ Disease.Status + (1 | Donor.Age) +      (1 | Slide.Age)","Disease.Status","Donor.Age, Slide.Age",8,6,0.5499
"Ganglia.Area.µm.2.","log_Ganglia.Area.µm.2. ~ Disease.Status + (1 | Donor.Age) +      (1 | T1D_Duration_Binned)","Disease.Status","Donor.Age, T1D, Duration, Binned",9,7,0.55
"Ganglia.Area.µm.2.","log_Ganglia.Area.µm.2. ~ Disease.Status + (1 | Tissue.Region) +      (1 | CaseID)","Disease.Status","Tissue.Region, CaseID",10,8,0.5729
"Ganglia.Area.µm.2.","log_Ganglia.Area.µm.2. ~ Disease.Status + (1 | T1D_Duration_Binned) +      (1 | Ganglia.Type)","Disease.Status","T1D, Duration, Binned, Ganglia.Type",11,9,0.376
"Ganglia.Area.µm.2.","log_Ganglia.Area.µm.2. ~ Disease.Status + (1 | T1D_Duration_Binned) +      (1 | CaseID)","Disease.Status","T1D, Duration, Binned, CaseID",12,11,0.6337
"Ganglia.Area.µm.2.","log_Ganglia.Area.µm.2. ~ Disease.Status + (1 | Slide.Age) +      (1 | CaseID)","Disease.Status","Slide.Age, CaseID",13.5,12.5,0.5624
"Ganglia.Area.µm.2.","log_Ganglia.Area.µm.2. ~ Disease.Status + (1 | CaseID) + (1 |      Slide.Age)","Disease.Status","CaseID, SlideAge",13.5,12.5,0.5624
"Ganglia.Area.µm.2.","log_Ganglia.Area.µm.2. ~ Disease.Status + (1 | Slide.Age) +      (1 | Ganglia.Type)","Disease.Status","Slide.Age, Ganglia.Type",15,15,0.0507
"Ganglia.Area.µm.2.","log_Ganglia.Area.µm.2. ~ Disease.Status + (1 | Ganglia.Type)","Disease.Status","Ganglia.Type",16,17.5,0.1541
"Ganglia.Area.µm.2.","log_Ganglia.Area.µm.2. ~ Disease.Status + (1 | T1D_Duration_Binned)","Disease.Status","T1D, Duration, Binned",17,21,0.4667
"Ganglia.Area.µm.2.","log_Ganglia.Area.µm.2. ~ Disease.Status + (1 | Slide.Age)","Disease.Status","Slide.Age",18,22,0.0599
"Ganglia.Area.µm.2.","log_Ganglia.Area.µm.2. ~ Disease.Status + (1 | T1D_Duration_Binned) +      (1 | Slide.Age)","Disease.Status","T1D, Duration, Binned, Slide.Age",19,16,0.3233
"Ganglia.Area.µm.2.","log_Ganglia.Area.µm.2. ~ Disease.Status + (1 | Tissue.Region) +      (1 | Ganglia.Type)","Disease.Status","Tissue.Region, Ganglia.Type",20,17.5,0.1541
"Ganglia.Area.µm.2.","log_Ganglia.Area.µm.2. ~ Disease.Status + (1 | Tissue.Region) +      (1 | T1D_Duration_Binned)","Disease.Status","Tissue.Region, T1D, Duration, Binned",21,19,0.5129
"Ganglia.Area.µm.2.","log_Ganglia.Area.µm.2. ~ Disease.Status + (1 | Tissue.Region) +      (1 | Slide.Age)","Disease.Status","Tissue.Region, Slide.Age",22,20,0.0538
"Ganglia.Area.µm.2.","log_Ganglia.Area.µm.2. ~ Disease.Status + (1 | Tissue.Region)","Disease.Status","Tissue.Region",23,23,0.1818
"Ganglia.Area.µm.2.","log_Ganglia.Area.µm.2. ~ Tissue.Region","Tissue.Region","None",NA,NA,0.5237
"Ganglia.Area.µm.2.","log_Ganglia.Area.µm.2. ~ Donor.Age","Donor.Age","None",NA,NA,1e-04
"Ganglia.Area.µm.2.","log_Ganglia.Area.µm.2. ~ T1D_Duration_Binned","T1D_Duration_Binned","None",NA,NA,0.0182
"Ganglia.Area.µm.2.","log_Ganglia.Area.µm.2. ~ Slide.Age","Slide.Age","None",NA,NA,0.1598
"Ganglia.Area.µm.2.","log_Ganglia.Area.µm.2. ~ Ganglia.Type","Ganglia.Type","None",NA,NA,0.0079
"Ganglia.Area.µm.2.","log_Ganglia.Area.µm.2. ~ CaseID","CaseID","None",NA,NA,0.0018
