"Dependent.Variable","Model","Fixed_Effect","Random_Effects","Model_Fit_Rank","Model_Likelihood_Rank","Significance_of_Fixed_Effect"
"HuCD.Coverage","log_HuCD.Coverage ~ Disease.Status + (1 | Ganglia.Type) + (1 |      CaseID)","Disease.Status","Ganglia.Type, CaseID",1,1,0.5317
"HuCD.Coverage","log_HuCD.Coverage ~ Disease.Status + (1 | Donor.Age) + (1 | Ganglia.Type)","Disease.Status","Donor.Age, Ganglia.Type",2,2,0.7479
"HuCD.Coverage","log_HuCD.Coverage ~ Disease.Status + (1 | Slide.Age) + (1 | CaseID)","Disease.Status","Slide.Age, CaseID",3.5,3.5,0.8023
"HuCD.Coverage","log_HuCD.Coverage ~ Disease.Status + (1 | CaseID) + (1 | Slide.Age)","Disease.Status","CaseID, SlideAge",3.5,3.5,0.8023
"HuCD.Coverage","log_HuCD.Coverage ~ Disease.Status + (1 | Donor.Age) + (1 | T1D_Duration_Binned)","Disease.Status","Donor.Age, T1D, Duration, Binned",5,5,0.9653
"HuCD.Coverage","log_HuCD.Coverage ~ Disease.Status + (1 | T1D_Duration_Binned) +      (1 | CaseID)","Disease.Status","T1D, Duration, Binned, CaseID",6,6,0.9195
"HuCD.Coverage","log_HuCD.Coverage ~ Disease.Status + (1 | CaseID)","Disease.Status","CaseID",7,11,0.579
"HuCD.Coverage","log_HuCD.Coverage ~ Disease.Status + (1 | Donor.Age)","Disease.Status","Donor.Age",8,12,0.7781
"HuCD.Coverage","log_HuCD.Coverage ~ Disease.Status + (1 | Donor.Age) + (1 | Slide.Age)","Disease.Status","Donor.Age, Slide.Age",9,7,0.8885
"HuCD.Coverage","log_HuCD.Coverage ~ Disease.Status + (1 | Tissue.Region) + (1 |      Donor.Age)","Disease.Status","Tissue.Region, Donor.Age",10,8,0.6981
"HuCD.Coverage","log_HuCD.Coverage ~ Disease.Status + (1 | Tissue.Region) + (1 |      CaseID)","Disease.Status","Tissue.Region, CaseID",11,9,0.5674
"HuCD.Coverage","log_HuCD.Coverage ~ Disease.Status + (1 | Donor.Age) + (1 | CaseID)","Disease.Status","Donor.Age, CaseID",12,10,0.579
"HuCD.Coverage","log_HuCD.Coverage ~ Disease.Status + (1 | T1D_Duration_Binned) +      (1 | Slide.Age)","Disease.Status","T1D, Duration, Binned, Slide.Age",13,13,0.5439
"HuCD.Coverage","log_HuCD.Coverage ~ Disease.Status + (1 | Slide.Age) + (1 | Ganglia.Type)","Disease.Status","Slide.Age, Ganglia.Type",14,14,0.0848
"HuCD.Coverage","log_HuCD.Coverage ~ Disease.Status + (1 | Slide.Age)","Disease.Status","Slide.Age",15,16,0.076
"HuCD.Coverage","log_HuCD.Coverage ~ Disease.Status + (1 | Tissue.Region) + (1 |      Slide.Age)","Disease.Status","Tissue.Region, Slide.Age",16,15,0.047
"HuCD.Coverage","log_HuCD.Coverage ~ Disease.Status + (1 | T1D_Duration_Binned) +      (1 | Ganglia.Type)","Disease.Status","T1D, Duration, Binned, Ganglia.Type",17,17,0.9769
"HuCD.Coverage","log_HuCD.Coverage ~ Disease.Status + (1 | Tissue.Region) + (1 |      T1D_Duration_Binned)","Disease.Status","Tissue.Region, T1D, Duration, Binned",18,18,0.9702
"HuCD.Coverage","log_HuCD.Coverage ~ Disease.Status + (1 | T1D_Duration_Binned)","Disease.Status","T1D, Duration, Binned",19,19,0.9963
"HuCD.Coverage","log_HuCD.Coverage ~ Disease.Status","Disease.Status","None",20,20,0.9996
"HuCD.Coverage","log_HuCD.Coverage ~ Disease.Status + (1 | Tissue.Region) + (1 |      Ganglia.Type)","Disease.Status","Tissue.Region, Ganglia.Type",21,21,0.9732
"HuCD.Coverage","log_HuCD.Coverage ~ Disease.Status + (1 | Ganglia.Type)","Disease.Status","Ganglia.Type",22,22,0.9862
"HuCD.Coverage","log_HuCD.Coverage ~ Disease.Status + (1 | Tissue.Region)","Disease.Status","Tissue.Region",23,23,0.9914
"HuCD.Coverage","log_HuCD.Coverage ~ Tissue.Region","Tissue.Region","None",NA,NA,0.0375
"HuCD.Coverage","log_HuCD.Coverage ~ Donor.Age","Donor.Age","None",NA,NA,0
"HuCD.Coverage","log_HuCD.Coverage ~ T1D_Duration_Binned","T1D_Duration_Binned","None",NA,NA,0
"HuCD.Coverage","log_HuCD.Coverage ~ Slide.Age","Slide.Age","None",NA,NA,0
"HuCD.Coverage","log_HuCD.Coverage ~ Ganglia.Type","Ganglia.Type","None",NA,NA,0.0048
"HuCD.Coverage","log_HuCD.Coverage ~ CaseID","CaseID","None",NA,NA,0
