"Dependent.Variable","Model","Fixed_Effect","Random_Effects","Model_Fit_Rank","Model_Likelihood_Rank","Significance_of_Fixed_Effect"
"HuCD.Coverage","log_HuCD.Coverage ~ Disease.Status + (1 | Ganglia.Type) + (1 |      CaseID)","Disease.Status","Ganglia.Type, CaseID",1,1,0.3466
"HuCD.Coverage","log_HuCD.Coverage ~ Disease.Status + (1 | Donor.Age) + (1 | Ganglia.Type)","Disease.Status","Donor.Age, Ganglia.Type",2,2,0.5574
"HuCD.Coverage","log_HuCD.Coverage ~ Disease.Status + (1 | Slide.Age) + (1 | CaseID)","Disease.Status","Slide.Age, CaseID",3.5,3.5,0.6646
"HuCD.Coverage","log_HuCD.Coverage ~ Disease.Status + (1 | CaseID) + (1 | Slide.Age)","Disease.Status","CaseID, SlideAge",3.5,3.5,0.6646
"HuCD.Coverage","log_HuCD.Coverage ~ Disease.Status + (1 | CaseID)","Disease.Status","CaseID",5,11,0.3929
"HuCD.Coverage","log_HuCD.Coverage ~ Disease.Status + (1 | T1D_Duration_Binned) +      (1 | CaseID)","Disease.Status","T1D, Duration, Binned, CaseID",6,5,0.8433
"HuCD.Coverage","log_HuCD.Coverage ~ Disease.Status + (1 | Donor.Age)","Disease.Status","Donor.Age",7,12,0.602
"HuCD.Coverage","log_HuCD.Coverage ~ Disease.Status + (1 | Donor.Age) + (1 | Slide.Age)","Disease.Status","Donor.Age, Slide.Age",8,6,0.7685
"HuCD.Coverage","log_HuCD.Coverage ~ Disease.Status + (1 | Donor.Age) + (1 | T1D_Duration_Binned)","Disease.Status","Donor.Age, T1D, Duration, Binned",9,7,0.9466
"HuCD.Coverage","log_HuCD.Coverage ~ Disease.Status + (1 | Tissue.Region) + (1 |      Donor.Age)","Disease.Status","Tissue.Region, Donor.Age",10,8,0.5566
"HuCD.Coverage","log_HuCD.Coverage ~ Disease.Status + (1 | Tissue.Region) + (1 |      CaseID)","Disease.Status","Tissue.Region, CaseID",11,9,0.3991
"HuCD.Coverage","log_HuCD.Coverage ~ Disease.Status + (1 | Donor.Age) + (1 | CaseID)","Disease.Status","Donor.Age, CaseID",12,10,0.3929
"HuCD.Coverage","log_HuCD.Coverage ~ Disease.Status + (1 | Slide.Age) + (1 | Ganglia.Type)","Disease.Status","Slide.Age, Ganglia.Type",13,13,0.063
"HuCD.Coverage","log_HuCD.Coverage ~ Disease.Status + (1 | T1D_Duration_Binned) +      (1 | Slide.Age)","Disease.Status","T1D, Duration, Binned, Slide.Age",14,14,0.7292
"HuCD.Coverage","log_HuCD.Coverage ~ Disease.Status + (1 | Slide.Age)","Disease.Status","Slide.Age",15,16,0.047
"HuCD.Coverage","log_HuCD.Coverage ~ Disease.Status + (1 | Tissue.Region) + (1 |      Slide.Age)","Disease.Status","Tissue.Region, Slide.Age",16,15,0.0256
"HuCD.Coverage","log_HuCD.Coverage ~ Disease.Status + (1 | T1D_Duration_Binned) +      (1 | Ganglia.Type)","Disease.Status","T1D, Duration, Binned, Ganglia.Type",17,17,0.9729
"HuCD.Coverage","log_HuCD.Coverage ~ Disease.Status + (1 | Tissue.Region) + (1 |      T1D_Duration_Binned)","Disease.Status","Tissue.Region, T1D, Duration, Binned",18,18,0.9709
"HuCD.Coverage","log_HuCD.Coverage ~ Disease.Status + (1 | T1D_Duration_Binned)","Disease.Status","T1D, Duration, Binned",19,19,0.998
"HuCD.Coverage","log_HuCD.Coverage ~ Disease.Status","Disease.Status","None",20,20,0.9961
"HuCD.Coverage","log_HuCD.Coverage ~ Disease.Status + (1 | Tissue.Region) + (1 |      Ganglia.Type)","Disease.Status","Tissue.Region, Ganglia.Type",21,21,0.8964
"HuCD.Coverage","log_HuCD.Coverage ~ Disease.Status + (1 | Ganglia.Type)","Disease.Status","Ganglia.Type",22,22,0.9423
"HuCD.Coverage","log_HuCD.Coverage ~ Disease.Status + (1 | Tissue.Region)","Disease.Status","Tissue.Region",23,23,0.971
"HuCD.Coverage","log_HuCD.Coverage ~ Tissue.Region","Tissue.Region","None",NA,NA,0.0415
"HuCD.Coverage","log_HuCD.Coverage ~ Donor.Age","Donor.Age","None",NA,NA,0
"HuCD.Coverage","log_HuCD.Coverage ~ T1D_Duration_Binned","T1D_Duration_Binned","None",NA,NA,0
"HuCD.Coverage","log_HuCD.Coverage ~ Slide.Age","Slide.Age","None",NA,NA,0
"HuCD.Coverage","log_HuCD.Coverage ~ Ganglia.Type","Ganglia.Type","None",NA,NA,0.0051
"HuCD.Coverage","log_HuCD.Coverage ~ CaseID","CaseID","None",NA,NA,0
