"Dependent.Variable","Model","Fixed_Effect","Random_Effects","Model_Fit_Rank","Model_Likelihood_Rank","Significance_of_Fixed_Effect"
"SNAP25.high.threshold.coverage","log_SNAP25.high.threshold.coverage ~ Disease.Status + (1 | Donor.Age)","Disease.Status","Donor.Age",1,4,0.337
"SNAP25.high.threshold.coverage","log_SNAP25.high.threshold.coverage ~ Disease.Status + (1 | Donor.Age) +      (1 | Slide.Age)","Disease.Status","Donor.Age, Slide.Age",2,1,0.5054
"SNAP25.high.threshold.coverage","log_SNAP25.high.threshold.coverage ~ Disease.Status + (1 | Slide.Age) +      (1 | CaseID)","Disease.Status","Slide.Age, CaseID",3.5,2.5,0.4026
"SNAP25.high.threshold.coverage","log_SNAP25.high.threshold.coverage ~ Disease.Status + (1 | CaseID) +      (1 | Slide.Age)","Disease.Status","CaseID, SlideAge",3.5,2.5,0.4026
"SNAP25.high.threshold.coverage","log_SNAP25.high.threshold.coverage ~ Disease.Status + (1 | CaseID)","Disease.Status","CaseID",5,9,0.3041
"SNAP25.high.threshold.coverage","log_SNAP25.high.threshold.coverage ~ Disease.Status + (1 | Donor.Age) +      (1 | T1D_Duration_Binned)","Disease.Status","Donor.Age, T1D, Duration, Binned",6,5,0.337
"SNAP25.high.threshold.coverage","log_SNAP25.high.threshold.coverage ~ Disease.Status + (1 | Tissue.Region) +      (1 | Donor.Age)","Disease.Status","Tissue.Region, Donor.Age",7,6,0.337
"SNAP25.high.threshold.coverage","log_SNAP25.high.threshold.coverage ~ Disease.Status + (1 | Donor.Age) +      (1 | CaseID)","Disease.Status","Donor.Age, CaseID",8,7,0.337
"SNAP25.high.threshold.coverage","log_SNAP25.high.threshold.coverage ~ Disease.Status + (1 | Donor.Age) +      (1 | Ganglia.Type)","Disease.Status","Donor.Age, Ganglia.Type",9,8,0.337
"SNAP25.high.threshold.coverage","log_SNAP25.high.threshold.coverage ~ Disease.Status + (1 | T1D_Duration_Binned) +      (1 | CaseID)","Disease.Status","T1D, Duration, Binned, CaseID",10,10,0.3041
"SNAP25.high.threshold.coverage","log_SNAP25.high.threshold.coverage ~ Disease.Status + (1 | Ganglia.Type) +      (1 | CaseID)","Disease.Status","Ganglia.Type, CaseID",11,11,0.3041
"SNAP25.high.threshold.coverage","log_SNAP25.high.threshold.coverage ~ Disease.Status + (1 | Tissue.Region) +      (1 | CaseID)","Disease.Status","Tissue.Region, CaseID",12,12,0.3041
"SNAP25.high.threshold.coverage","log_SNAP25.high.threshold.coverage ~ Disease.Status + (1 | Slide.Age)","Disease.Status","Slide.Age",13,14,0.1463
"SNAP25.high.threshold.coverage","log_SNAP25.high.threshold.coverage ~ Disease.Status + (1 | T1D_Duration_Binned) +      (1 | Slide.Age)","Disease.Status","T1D, Duration, Binned, Slide.Age",14,13,0.4065
"SNAP25.high.threshold.coverage","log_SNAP25.high.threshold.coverage ~ Disease.Status + (1 | Tissue.Region) +      (1 | Slide.Age)","Disease.Status","Tissue.Region, Slide.Age",15,15,0.1463
"SNAP25.high.threshold.coverage","log_SNAP25.high.threshold.coverage ~ Disease.Status + (1 | Slide.Age) +      (1 | Ganglia.Type)","Disease.Status","Slide.Age, Ganglia.Type",16,16,0.1463
"SNAP25.high.threshold.coverage","log_SNAP25.high.threshold.coverage ~ Disease.Status + (1 | T1D_Duration_Binned)","Disease.Status","T1D, Duration, Binned",17,19,0.648
"SNAP25.high.threshold.coverage","log_SNAP25.high.threshold.coverage ~ Disease.Status + (1 | T1D_Duration_Binned) +      (1 | Ganglia.Type)","Disease.Status","T1D, Duration, Binned, Ganglia.Type",18,17,0.6477
"SNAP25.high.threshold.coverage","log_SNAP25.high.threshold.coverage ~ Disease.Status + (1 | Tissue.Region) +      (1 | T1D_Duration_Binned)","Disease.Status","Tissue.Region, T1D, Duration, Binned",19,18,0.648
"SNAP25.high.threshold.coverage","log_SNAP25.high.threshold.coverage ~ Disease.Status","Disease.Status","None",20,20,0.3823
"SNAP25.high.threshold.coverage","log_SNAP25.high.threshold.coverage ~ Disease.Status + (1 | Tissue.Region)","Disease.Status","Tissue.Region",21,22,0.3545
"SNAP25.high.threshold.coverage","log_SNAP25.high.threshold.coverage ~ Disease.Status + (1 | Ganglia.Type)","Disease.Status","Ganglia.Type",22,23,0.3823
"SNAP25.high.threshold.coverage","log_SNAP25.high.threshold.coverage ~ Disease.Status + (1 | Tissue.Region) +      (1 | Ganglia.Type)","Disease.Status","Tissue.Region, Ganglia.Type",23,21,0.3545
"SNAP25.high.threshold.coverage","log_SNAP25.high.threshold.coverage ~ Tissue.Region","Tissue.Region","None",NA,NA,0.1819
"SNAP25.high.threshold.coverage","log_SNAP25.high.threshold.coverage ~ Donor.Age","Donor.Age","None",NA,NA,2e-04
"SNAP25.high.threshold.coverage","log_SNAP25.high.threshold.coverage ~ T1D_Duration_Binned","T1D_Duration_Binned","None",NA,NA,6e-04
"SNAP25.high.threshold.coverage","log_SNAP25.high.threshold.coverage ~ Slide.Age","Slide.Age","None",NA,NA,0
"SNAP25.high.threshold.coverage","log_SNAP25.high.threshold.coverage ~ Ganglia.Type","Ganglia.Type","None",NA,NA,0.5169
"SNAP25.high.threshold.coverage","log_SNAP25.high.threshold.coverage ~ CaseID","CaseID","None",NA,NA,0
