"Dependent.Variable","Model","Fixed_Effect","Random_Effects","Model_Fit_Rank","Model_Likelihood_Rank","Significance_of_Fixed_Effect"
"SNAP25.high.threshold.coverage","log_SNAP25.high.threshold.coverage ~ Disease.Status + (1 | Donor.Age) +      (1 | T1D_Duration_Binned)","Disease.Status","Donor.Age, T1D, Duration, Binned",1,1,0.8528
"SNAP25.high.threshold.coverage","log_SNAP25.high.threshold.coverage ~ Disease.Status + (1 | Donor.Age)","Disease.Status","Donor.Age",2,6,0.2458
"SNAP25.high.threshold.coverage","log_SNAP25.high.threshold.coverage ~ Disease.Status + (1 | T1D_Duration_Binned) +      (1 | CaseID)","Disease.Status","T1D, Duration, Binned, CaseID",3,2,0.7802
"SNAP25.high.threshold.coverage","log_SNAP25.high.threshold.coverage ~ Disease.Status + (1 | Donor.Age) +      (1 | Slide.Age)","Disease.Status","Donor.Age, Slide.Age",4,3,0.5484
"SNAP25.high.threshold.coverage","log_SNAP25.high.threshold.coverage ~ Disease.Status + (1 | Slide.Age) +      (1 | CaseID)","Disease.Status","Slide.Age, CaseID",5.5,4.5,0.4221
"SNAP25.high.threshold.coverage","log_SNAP25.high.threshold.coverage ~ Disease.Status + (1 | CaseID) +      (1 | Slide.Age)","Disease.Status","CaseID, SlideAge",5.5,4.5,0.4221
"SNAP25.high.threshold.coverage","log_SNAP25.high.threshold.coverage ~ Disease.Status + (1 | CaseID)","Disease.Status","CaseID",7,10,0.2169
"SNAP25.high.threshold.coverage","log_SNAP25.high.threshold.coverage ~ Disease.Status + (1 | Donor.Age) +      (1 | Ganglia.Type)","Disease.Status","Donor.Age, Ganglia.Type",8,7,0.2458
"SNAP25.high.threshold.coverage","log_SNAP25.high.threshold.coverage ~ Disease.Status + (1 | Tissue.Region) +      (1 | Donor.Age)","Disease.Status","Tissue.Region, Donor.Age",9,8,0.2458
"SNAP25.high.threshold.coverage","log_SNAP25.high.threshold.coverage ~ Disease.Status + (1 | Donor.Age) +      (1 | CaseID)","Disease.Status","Donor.Age, CaseID",10,9,0.2458
"SNAP25.high.threshold.coverage","log_SNAP25.high.threshold.coverage ~ Disease.Status + (1 | Tissue.Region) +      (1 | CaseID)","Disease.Status","Tissue.Region, CaseID",11,11,0.2169
"SNAP25.high.threshold.coverage","log_SNAP25.high.threshold.coverage ~ Disease.Status + (1 | Ganglia.Type) +      (1 | CaseID)","Disease.Status","Ganglia.Type, CaseID",12,12,0.2169
"SNAP25.high.threshold.coverage","log_SNAP25.high.threshold.coverage ~ Disease.Status + (1 | Slide.Age)","Disease.Status","Slide.Age",13,15,0.1224
"SNAP25.high.threshold.coverage","log_SNAP25.high.threshold.coverage ~ Disease.Status + (1 | T1D_Duration_Binned) +      (1 | Slide.Age)","Disease.Status","T1D, Duration, Binned, Slide.Age",14,13,0.774
"SNAP25.high.threshold.coverage","log_SNAP25.high.threshold.coverage ~ Disease.Status + (1 | T1D_Duration_Binned)","Disease.Status","T1D, Duration, Binned",15,18,0.7194
"SNAP25.high.threshold.coverage","log_SNAP25.high.threshold.coverage ~ Disease.Status + (1 | Slide.Age) +      (1 | Ganglia.Type)","Disease.Status","Slide.Age, Ganglia.Type",16,14,0.1211
"SNAP25.high.threshold.coverage","log_SNAP25.high.threshold.coverage ~ Disease.Status + (1 | Tissue.Region) +      (1 | Slide.Age)","Disease.Status","Tissue.Region, Slide.Age",17,16,0.1224
"SNAP25.high.threshold.coverage","log_SNAP25.high.threshold.coverage ~ Disease.Status + (1 | T1D_Duration_Binned) +      (1 | Ganglia.Type)","Disease.Status","T1D, Duration, Binned, Ganglia.Type",18,17,0.7402
"SNAP25.high.threshold.coverage","log_SNAP25.high.threshold.coverage ~ Disease.Status + (1 | Tissue.Region) +      (1 | T1D_Duration_Binned)","Disease.Status","Tissue.Region, T1D, Duration, Binned",19,19,0.7194
"SNAP25.high.threshold.coverage","log_SNAP25.high.threshold.coverage ~ Disease.Status","Disease.Status","None",20,20,0.3159
"SNAP25.high.threshold.coverage","log_SNAP25.high.threshold.coverage ~ Disease.Status + (1 | Tissue.Region)","Disease.Status","Tissue.Region",21,21,0.2996
"SNAP25.high.threshold.coverage","log_SNAP25.high.threshold.coverage ~ Disease.Status + (1 | Ganglia.Type)","Disease.Status","Ganglia.Type",22,23,0.3159
"SNAP25.high.threshold.coverage","log_SNAP25.high.threshold.coverage ~ Disease.Status + (1 | Tissue.Region) +      (1 | Ganglia.Type)","Disease.Status","Tissue.Region, Ganglia.Type",23,22,0.2996
"SNAP25.high.threshold.coverage","log_SNAP25.high.threshold.coverage ~ Tissue.Region","Tissue.Region","None",NA,NA,0.2706
"SNAP25.high.threshold.coverage","log_SNAP25.high.threshold.coverage ~ Donor.Age","Donor.Age","None",NA,NA,2e-04
"SNAP25.high.threshold.coverage","log_SNAP25.high.threshold.coverage ~ T1D_Duration_Binned","T1D_Duration_Binned","None",NA,NA,0
"SNAP25.high.threshold.coverage","log_SNAP25.high.threshold.coverage ~ Slide.Age","Slide.Age","None",NA,NA,0
"SNAP25.high.threshold.coverage","log_SNAP25.high.threshold.coverage ~ Ganglia.Type","Ganglia.Type","None",NA,NA,0.4325
"SNAP25.high.threshold.coverage","log_SNAP25.high.threshold.coverage ~ CaseID","CaseID","None",NA,NA,0
