"Dependent.Variable","Model","Fixed_Effect","Random_Effects","Model_Fit_Rank","Model_Likelihood_Rank","Significance_of_Fixed_Effect"
"SubP.Coverage","log_SubP.Coverage ~ Disease.Status + (1 | Donor.Age)","Disease.Status","Donor.Age",1,7,0.1836
"SubP.Coverage","log_SubP.Coverage ~ Disease.Status + (1 | Donor.Age) + (1 | Slide.Age)","Disease.Status","Donor.Age, Slide.Age",2,1,0.7597
"SubP.Coverage","log_SubP.Coverage ~ Disease.Status + (1 | Donor.Age) + (1 | T1D_Duration_Binned)","Disease.Status","Donor.Age, T1D, Duration, Binned",3,2,0.4784
"SubP.Coverage","log_SubP.Coverage ~ Disease.Status + (1 | CaseID)","Disease.Status","CaseID",4,11,0.3465
"SubP.Coverage","log_SubP.Coverage ~ Disease.Status + (1 | Slide.Age) + (1 | CaseID)","Disease.Status","Slide.Age, CaseID",5.5,3.5,0.868
"SubP.Coverage","log_SubP.Coverage ~ Disease.Status + (1 | CaseID) + (1 | Slide.Age)","Disease.Status","CaseID, SlideAge",5.5,3.5,0.868
"SubP.Coverage","log_SubP.Coverage ~ Disease.Status + (1 | T1D_Duration_Binned) +      (1 | CaseID)","Disease.Status","T1D, Duration, Binned, CaseID",7,5,0.5512
"SubP.Coverage","log_SubP.Coverage ~ Disease.Status + (1 | Donor.Age) + (1 | Ganglia.Type)","Disease.Status","Donor.Age, Ganglia.Type",8,6,0.1839
"SubP.Coverage","log_SubP.Coverage ~ Disease.Status + (1 | Tissue.Region) + (1 |      Donor.Age)","Disease.Status","Tissue.Region, Donor.Age",9,8,0.1836
"SubP.Coverage","log_SubP.Coverage ~ Disease.Status + (1 | Donor.Age) + (1 | CaseID)","Disease.Status","Donor.Age, CaseID",10,9,0.1836
"SubP.Coverage","log_SubP.Coverage ~ Disease.Status + (1 | Tissue.Region) + (1 |      CaseID)","Disease.Status","Tissue.Region, CaseID",11,10,0.3465
"SubP.Coverage","log_SubP.Coverage ~ Disease.Status + (1 | Ganglia.Type) + (1 |      CaseID)","Disease.Status","Ganglia.Type, CaseID",12,12,0.3465
"SubP.Coverage","log_SubP.Coverage ~ Disease.Status + (1 | T1D_Duration_Binned)","Disease.Status","T1D, Duration, Binned",13,15,0.3304
"SubP.Coverage","log_SubP.Coverage ~ Disease.Status + (1 | T1D_Duration_Binned) +      (1 | Slide.Age)","Disease.Status","T1D, Duration, Binned, Slide.Age",14,13,0.8401
"SubP.Coverage","log_SubP.Coverage ~ Disease.Status + (1 | Tissue.Region) + (1 |      T1D_Duration_Binned)","Disease.Status","Tissue.Region, T1D, Duration, Binned",15,14,0.3704
"SubP.Coverage","log_SubP.Coverage ~ Disease.Status + (1 | T1D_Duration_Binned) +      (1 | Ganglia.Type)","Disease.Status","T1D, Duration, Binned, Ganglia.Type",16,16,0.3304
"SubP.Coverage","log_SubP.Coverage ~ Disease.Status + (1 | Slide.Age)","Disease.Status","Slide.Age",17,19,0.8328
"SubP.Coverage","log_SubP.Coverage ~ Disease.Status + (1 | Tissue.Region) + (1 |      Slide.Age)","Disease.Status","Tissue.Region, Slide.Age",18,17,0.8611
"SubP.Coverage","log_SubP.Coverage ~ Disease.Status + (1 | Slide.Age) + (1 | Ganglia.Type)","Disease.Status","Slide.Age, Ganglia.Type",19,18,0.8328
"SubP.Coverage","log_SubP.Coverage ~ Disease.Status","Disease.Status","None",20,20,0.1025
"SubP.Coverage","log_SubP.Coverage ~ Disease.Status + (1 | Tissue.Region)","Disease.Status","Tissue.Region",21,22,0.1707
"SubP.Coverage","log_SubP.Coverage ~ Disease.Status + (1 | Ganglia.Type)","Disease.Status","Ganglia.Type",22,23,0.1025
"SubP.Coverage","log_SubP.Coverage ~ Disease.Status + (1 | Tissue.Region) + (1 |      Ganglia.Type)","Disease.Status","Tissue.Region, Ganglia.Type",23,21,0.1707
"SubP.Coverage","log_SubP.Coverage ~ Tissue.Region","Tissue.Region","None",NA,NA,0.0146
"SubP.Coverage","log_SubP.Coverage ~ Donor.Age","Donor.Age","None",NA,NA,0.005
"SubP.Coverage","log_SubP.Coverage ~ T1D_Duration_Binned","T1D_Duration_Binned","None",NA,NA,0
"SubP.Coverage","log_SubP.Coverage ~ Slide.Age","Slide.Age","None",NA,NA,0
"SubP.Coverage","log_SubP.Coverage ~ Ganglia.Type","Ganglia.Type","None",NA,NA,0.3061
"SubP.Coverage","log_SubP.Coverage ~ CaseID","CaseID","None",NA,NA,0
