"Dependent.Variable","Model","Fixed_Effect","Random_Effects","Model_Fit_Rank","Model_Likelihood_Rank","Significance_of_Fixed_Effect"
"SubP.Coverage","log_SubP.Coverage ~ Disease.Status + (1 | Donor.Age) + (1 | T1D_Duration_Binned)","Disease.Status","Donor.Age, T1D, Duration, Binned",1,1,0.3549
"SubP.Coverage","log_SubP.Coverage ~ Disease.Status + (1 | T1D_Duration_Binned) +      (1 | CaseID)","Disease.Status","T1D, Duration, Binned, CaseID",2,2,0.3849
"SubP.Coverage","log_SubP.Coverage ~ Disease.Status + (1 | Donor.Age)","Disease.Status","Donor.Age",3,6,0.0937
"SubP.Coverage","log_SubP.Coverage ~ Disease.Status + (1 | Donor.Age) + (1 | Slide.Age)","Disease.Status","Donor.Age, Slide.Age",4,3,0.6573
"SubP.Coverage","log_SubP.Coverage ~ Disease.Status + (1 | CaseID)","Disease.Status","CaseID",5,10,0.2008
"SubP.Coverage","log_SubP.Coverage ~ Disease.Status + (1 | Slide.Age) + (1 | CaseID)","Disease.Status","Slide.Age, CaseID",6.5,4.5,0.7965
"SubP.Coverage","log_SubP.Coverage ~ Disease.Status + (1 | CaseID) + (1 | Slide.Age)","Disease.Status","CaseID, SlideAge",6.5,4.5,0.7965
"SubP.Coverage","log_SubP.Coverage ~ Disease.Status + (1 | Donor.Age) + (1 | CaseID)","Disease.Status","Donor.Age, CaseID",8,7,0.0937
"SubP.Coverage","log_SubP.Coverage ~ Disease.Status + (1 | Donor.Age) + (1 | Ganglia.Type)","Disease.Status","Donor.Age, Ganglia.Type",9,8,0.0937
"SubP.Coverage","log_SubP.Coverage ~ Disease.Status + (1 | Tissue.Region) + (1 |      Donor.Age)","Disease.Status","Tissue.Region, Donor.Age",10,9,0.0937
"SubP.Coverage","log_SubP.Coverage ~ Disease.Status + (1 | Ganglia.Type) + (1 |      CaseID)","Disease.Status","Ganglia.Type, CaseID",11,11,0.2008
"SubP.Coverage","log_SubP.Coverage ~ Disease.Status + (1 | Tissue.Region) + (1 |      CaseID)","Disease.Status","Tissue.Region, CaseID",12,12,0.201
"SubP.Coverage","log_SubP.Coverage ~ Disease.Status + (1 | T1D_Duration_Binned)","Disease.Status","T1D, Duration, Binned",13,15,0.2837
"SubP.Coverage","log_SubP.Coverage ~ Disease.Status + (1 | T1D_Duration_Binned) +      (1 | Slide.Age)","Disease.Status","T1D, Duration, Binned, Slide.Age",14,13,0.446
"SubP.Coverage","log_SubP.Coverage ~ Disease.Status + (1 | Tissue.Region) + (1 |      T1D_Duration_Binned)","Disease.Status","Tissue.Region, T1D, Duration, Binned",15,14,0.3075
"SubP.Coverage","log_SubP.Coverage ~ Disease.Status + (1 | T1D_Duration_Binned) +      (1 | Ganglia.Type)","Disease.Status","T1D, Duration, Binned, Ganglia.Type",16,16,0.2837
"SubP.Coverage","log_SubP.Coverage ~ Disease.Status + (1 | Slide.Age)","Disease.Status","Slide.Age",17,18,0.4944
"SubP.Coverage","log_SubP.Coverage ~ Disease.Status + (1 | Slide.Age) + (1 | Ganglia.Type)","Disease.Status","Slide.Age, Ganglia.Type",18,17,0.4944
"SubP.Coverage","log_SubP.Coverage ~ Disease.Status + (1 | Tissue.Region) + (1 |      Slide.Age)","Disease.Status","Tissue.Region, Slide.Age",19,19,0.4944
"SubP.Coverage","log_SubP.Coverage ~ Disease.Status","Disease.Status","None",20,20,0.0712
"SubP.Coverage","log_SubP.Coverage ~ Disease.Status + (1 | Tissue.Region)","Disease.Status","Tissue.Region",21,21,0.1206
"SubP.Coverage","log_SubP.Coverage ~ Disease.Status + (1 | Ganglia.Type)","Disease.Status","Ganglia.Type",22,23,0.0712
"SubP.Coverage","log_SubP.Coverage ~ Disease.Status + (1 | Tissue.Region) + (1 |      Ganglia.Type)","Disease.Status","Tissue.Region, Ganglia.Type",23,22,0.1206
"SubP.Coverage","log_SubP.Coverage ~ Tissue.Region","Tissue.Region","None",NA,NA,0.0297
"SubP.Coverage","log_SubP.Coverage ~ Donor.Age","Donor.Age","None",NA,NA,0.0102
"SubP.Coverage","log_SubP.Coverage ~ T1D_Duration_Binned","T1D_Duration_Binned","None",NA,NA,0
"SubP.Coverage","log_SubP.Coverage ~ Slide.Age","Slide.Age","None",NA,NA,0
"SubP.Coverage","log_SubP.Coverage ~ Ganglia.Type","Ganglia.Type","None",NA,NA,0.846
"SubP.Coverage","log_SubP.Coverage ~ CaseID","CaseID","None",NA,NA,0
