"Dependent.Variable","Model","Fixed_Effect","Random_Effects","Model_Fit_Rank","Model_Likelihood_Rank","Significance_of_Fixed_Effect"
"TH.Coverage","log_TH.Coverage ~ Disease.Status + (1 | Ganglia.Type) + (1 |      CaseID)","Disease.Status","Ganglia.Type, CaseID",1,1,0.1502
"TH.Coverage","log_TH.Coverage ~ Disease.Status + (1 | Donor.Age) + (1 | Ganglia.Type)","Disease.Status","Donor.Age, Ganglia.Type",2,2,0.416
"TH.Coverage","log_TH.Coverage ~ Disease.Status + (1 | Slide.Age) + (1 | CaseID)","Disease.Status","Slide.Age, CaseID",3.5,3.5,0.9826
"TH.Coverage","log_TH.Coverage ~ Disease.Status + (1 | CaseID) + (1 | Slide.Age)","Disease.Status","CaseID, SlideAge",3.5,3.5,0.9826
"TH.Coverage","log_TH.Coverage ~ Disease.Status + (1 | Donor.Age) + (1 | Slide.Age)","Disease.Status","Donor.Age, Slide.Age",5,5,0.9319
"TH.Coverage","log_TH.Coverage ~ Disease.Status + (1 | T1D_Duration_Binned) +      (1 | CaseID)","Disease.Status","T1D, Duration, Binned, CaseID",6,6,0.3918
"TH.Coverage","log_TH.Coverage ~ Disease.Status + (1 | Donor.Age)","Disease.Status","Donor.Age",7,10,0.413
"TH.Coverage","log_TH.Coverage ~ Disease.Status + (1 | CaseID)","Disease.Status","CaseID",8,11,0.1891
"TH.Coverage","log_TH.Coverage ~ Disease.Status + (1 | Donor.Age) + (1 | T1D_Duration_Binned)","Disease.Status","Donor.Age, T1D, Duration, Binned",9,7,0.555
"TH.Coverage","log_TH.Coverage ~ Disease.Status + (1 | Tissue.Region) + (1 |      Donor.Age)","Disease.Status","Tissue.Region, Donor.Age",10,8,0.3402
"TH.Coverage","log_TH.Coverage ~ Disease.Status + (1 | Donor.Age) + (1 | CaseID)","Disease.Status","Donor.Age, CaseID",11,9,0.3596
"TH.Coverage","log_TH.Coverage ~ Disease.Status + (1 | Tissue.Region) + (1 |      CaseID)","Disease.Status","Tissue.Region, CaseID",12,12,0.1891
"TH.Coverage","log_TH.Coverage ~ Disease.Status + (1 | Slide.Age) + (1 | Ganglia.Type)","Disease.Status","Slide.Age, Ganglia.Type",13,13,0.7097
"TH.Coverage","log_TH.Coverage ~ Disease.Status + (1 | T1D_Duration_Binned) +      (1 | Slide.Age)","Disease.Status","T1D, Duration, Binned, Slide.Age",14,14,0.9708
"TH.Coverage","log_TH.Coverage ~ Disease.Status + (1 | Slide.Age)","Disease.Status","Slide.Age",15,16,0.6683
"TH.Coverage","log_TH.Coverage ~ Disease.Status + (1 | Tissue.Region) + (1 |      Slide.Age)","Disease.Status","Tissue.Region, Slide.Age",16,15,0.6683
"TH.Coverage","log_TH.Coverage ~ Disease.Status + (1 | T1D_Duration_Binned) +      (1 | Ganglia.Type)","Disease.Status","T1D, Duration, Binned, Ganglia.Type",17,17,0.2928
"TH.Coverage","log_TH.Coverage ~ Disease.Status + (1 | Tissue.Region) + (1 |      T1D_Duration_Binned)","Disease.Status","Tissue.Region, T1D, Duration, Binned",18,18,0.4435
"TH.Coverage","log_TH.Coverage ~ Disease.Status + (1 | T1D_Duration_Binned)","Disease.Status","T1D, Duration, Binned",19,19,0.3498
"TH.Coverage","log_TH.Coverage ~ Disease.Status + (1 | Tissue.Region) + (1 |      Ganglia.Type)","Disease.Status","Tissue.Region, Ganglia.Type",20,20,0.1591
"TH.Coverage","log_TH.Coverage ~ Disease.Status + (1 | Ganglia.Type)","Disease.Status","Ganglia.Type",21,21,0.1015
"TH.Coverage","log_TH.Coverage ~ Disease.Status","Disease.Status","None",22,22,0.1758
"TH.Coverage","log_TH.Coverage ~ Disease.Status + (1 | Tissue.Region)","Disease.Status","Tissue.Region",23,23,0.2385
"TH.Coverage","log_TH.Coverage ~ Tissue.Region","Tissue.Region","None",NA,NA,0.0025
"TH.Coverage","log_TH.Coverage ~ Donor.Age","Donor.Age","None",NA,NA,0.001
"TH.Coverage","log_TH.Coverage ~ T1D_Duration_Binned","T1D_Duration_Binned","None",NA,NA,0
"TH.Coverage","log_TH.Coverage ~ Slide.Age","Slide.Age","None",NA,NA,0
"TH.Coverage","log_TH.Coverage ~ Ganglia.Type","Ganglia.Type","None",NA,NA,3e-04
"TH.Coverage","log_TH.Coverage ~ CaseID","CaseID","None",NA,NA,0
