"Dependent.Variable","Model","Fixed_Effect","Random_Effects","Model_Fit_Rank","Model_Likelihood_Rank","Significance_of_Fixed_Effect"
"nNOS.Coverage","log_nNOS.Coverage ~ Disease.Status + (1 | Slide.Age) + (1 | CaseID)","Disease.Status","Slide.Age, CaseID",1.5,1.5,0.2242
"nNOS.Coverage","log_nNOS.Coverage ~ Disease.Status + (1 | CaseID) + (1 | Slide.Age)","Disease.Status","CaseID, SlideAge",1.5,1.5,0.2242
"nNOS.Coverage","log_nNOS.Coverage ~ Disease.Status + (1 | Donor.Age) + (1 | Slide.Age)","Disease.Status","Donor.Age, Slide.Age",3,3,0.1975
"nNOS.Coverage","log_nNOS.Coverage ~ Disease.Status + (1 | T1D_Duration_Binned) +      (1 | CaseID)","Disease.Status","T1D, Duration, Binned, CaseID",4,4,0.561
"nNOS.Coverage","log_nNOS.Coverage ~ Disease.Status + (1 | CaseID)","Disease.Status","CaseID",5,6,0.1989
"nNOS.Coverage","log_nNOS.Coverage ~ Disease.Status + (1 | Ganglia.Type) + (1 |      CaseID)","Disease.Status","Ganglia.Type, CaseID",6,5,0.2005
"nNOS.Coverage","log_nNOS.Coverage ~ Disease.Status + (1 | Donor.Age) + (1 | CaseID)","Disease.Status","Donor.Age, CaseID",7,7,0.1989
"nNOS.Coverage","log_nNOS.Coverage ~ Disease.Status + (1 | Tissue.Region) + (1 |      CaseID)","Disease.Status","Tissue.Region, CaseID",8,8,0.1989
"nNOS.Coverage","log_nNOS.Coverage ~ Disease.Status + (1 | T1D_Duration_Binned) +      (1 | Slide.Age)","Disease.Status","T1D, Duration, Binned, Slide.Age",9,9,0.1779
"nNOS.Coverage","log_nNOS.Coverage ~ Disease.Status + (1 | Donor.Age) + (1 | T1D_Duration_Binned)","Disease.Status","Donor.Age, T1D, Duration, Binned",10,10,0.4792
"nNOS.Coverage","log_nNOS.Coverage ~ Disease.Status + (1 | Donor.Age)","Disease.Status","Donor.Age",11,12,0.1095
"nNOS.Coverage","log_nNOS.Coverage ~ Disease.Status + (1 | Donor.Age) + (1 | Ganglia.Type)","Disease.Status","Donor.Age, Ganglia.Type",12,11,0.1138
"nNOS.Coverage","log_nNOS.Coverage ~ Disease.Status + (1 | Tissue.Region) + (1 |      Donor.Age)","Disease.Status","Tissue.Region, Donor.Age",13,13,0.1095
"nNOS.Coverage","log_nNOS.Coverage ~ Disease.Status + (1 | Slide.Age)","Disease.Status","Slide.Age",14,14,0.0182
"nNOS.Coverage","log_nNOS.Coverage ~ Disease.Status + (1 | Slide.Age) + (1 | Ganglia.Type)","Disease.Status","Slide.Age, Ganglia.Type",15,15,0.0182
"nNOS.Coverage","log_nNOS.Coverage ~ Disease.Status + (1 | Tissue.Region) + (1 |      Slide.Age)","Disease.Status","Tissue.Region, Slide.Age",16,16,0.0182
"nNOS.Coverage","log_nNOS.Coverage ~ Disease.Status + (1 | Tissue.Region) + (1 |      T1D_Duration_Binned)","Disease.Status","Tissue.Region, T1D, Duration, Binned",17,17,0.601
"nNOS.Coverage","log_nNOS.Coverage ~ Disease.Status + (1 | T1D_Duration_Binned)","Disease.Status","T1D, Duration, Binned",18,18,0.5169
"nNOS.Coverage","log_nNOS.Coverage ~ Disease.Status + (1 | T1D_Duration_Binned) +      (1 | Ganglia.Type)","Disease.Status","T1D, Duration, Binned, Ganglia.Type",19,19,0.5169
"nNOS.Coverage","log_nNOS.Coverage ~ Disease.Status","Disease.Status","None",20,20,0.0439
"nNOS.Coverage","log_nNOS.Coverage ~ Disease.Status + (1 | Tissue.Region)","Disease.Status","Tissue.Region",21,21,0.0379
"nNOS.Coverage","log_nNOS.Coverage ~ Disease.Status + (1 | Tissue.Region) + (1 |      Ganglia.Type)","Disease.Status","Tissue.Region, Ganglia.Type",22,22,0.0379
"nNOS.Coverage","log_nNOS.Coverage ~ Disease.Status + (1 | Ganglia.Type)","Disease.Status","Ganglia.Type",23,23,0.0439
"nNOS.Coverage","log_nNOS.Coverage ~ Tissue.Region","Tissue.Region","None",NA,NA,0.0171
"nNOS.Coverage","log_nNOS.Coverage ~ Donor.Age","Donor.Age","None",NA,NA,0.0056
"nNOS.Coverage","log_nNOS.Coverage ~ T1D_Duration_Binned","T1D_Duration_Binned","None",NA,NA,0
"nNOS.Coverage","log_nNOS.Coverage ~ Slide.Age","Slide.Age","None",NA,NA,0
"nNOS.Coverage","log_nNOS.Coverage ~ Ganglia.Type","Ganglia.Type","None",NA,NA,0.8464
"nNOS.Coverage","log_nNOS.Coverage ~ CaseID","CaseID","None",NA,NA,0
